label,label_for_freq,notes
cow,cow,
elephant,elephant,
strawberry,strawberry,
duck,duck,
frog,frog,
lion,lion,
zebra,zebra,
banana,banana,
peas,peas,
pig,pig,
monkey,monkey,
grapes,grapes,
orange,orange,
red,red,
yellow,yellow,
white,white,
black,black,
brown,brown,
bucket,bucket,
sock,sock,
hose,hose,
glove,glove,
donut,donut,
bib,bib,
necklace,necklace,
scissors,scissors,
slide,slide,
knife,knife,
zipper,zipper,
flag,flag,
belt,belt,
tape,tape,
dress,dress,
pudding,pudding,
green,green,
blue,blue,
shorts,shorts,
purse,purse,
shovel,shovel,
can,can,remove due to homonymy issue
comb,comb,
muffin,muffin,
plate,plate,
crib,crib,
boot,boot,
hammer,hammer,
ladder,ladder,
slipper,slipper,
puzzle,puzzle,
glasses,glasses,
chalk,chalk,
lamp,lamp,
baby,baby,
car,car,
ball,ball,
doggy,doggy,
shoe,shoe,
birdie,birdie,
book,book,
kitty,kitty,
chair,chair,
bed,bed,
bus,bus,
cat,cat,
fish,fish,
box,box,
brush,brush,
door,door,
cake,cake,
juice,juice,
bird,bird,
dog,dog,
clock,clock,
carrot,carrot,
apple,apple,
food,food,
chicken,chicken,
animal,animal,
cookie,cookie,
drink,drink,
toy,toy,
puppy,puppy,
boy,boy,
milk,milk,
baba,baba,
highchair,highchair,
water,water,
hat,hat,
blocks,blocks,
sippycup,sippy,
kittycat,kitty,
truck,truck,
stroller,stroller,
spoon,spoon,
horse,horse,
tiger,tiger,
bottle,bottle,
whale,whale,
owl,owl,
keys,keys,
sunglasses,sunglasses,
teddy,teddy,
phone,phone,
diaper,diaper,
tablet,tablet,CHILDES probably hasn't kept up with this tech change
cup,cup,
piano,piano,
bear,bear,
vacuum,vacuum,
bathtub,bathtub,
shoes,shoe,
socks,sock,
diapey,diaper,
train,train,
blanket,blanket,
guitar,guitar,
fan,fan,
balloon,balloon,
waterbottle,bottle,"maybe not ideal to map this, but maybe best option?"
blueberries,blueberry,
paci,pacifier,
drum,drum,
broom,broom,
giraffe,giraffe,
remote,remote,
pacifier,pacifier,
sippy,sippy,
kangaroo,kangaroo,
wagon,wagon,
bike,bike,
table,table,
sandbox,sandbox,
bunny,bunny,
flower,flower,
block,blocks,
sheep,sheep,
