target_label,definition,aoa
animal,animal,24
bear,bear,19
bird,bird,17
birdie,bird,17
bunny,bunny,21
cat,cat,18
chicken,chicken (animal),23
cow,cow,20
dog,dog,14
doggy,dog,14
duck,duck,17
elephant,elephant,23
fish,fish (animal),19
frog,frog,22
giraffe,giraffe,24
horse,horse,20
kitty,kitty,18
kittycat,kitty,18
lion,lion,23
monkey,monkey,21
owl,owl,24
pig,pig,21
puppy,puppy,21
teddy,teddybear,23
tiger,tiger,24
zebra,zebra,25
bus,bus,21
car,car,17
stroller,stroller,25
train,train,21
truck,truck,19
ball,ball,12
balloon,balloon,17
block,block,21
blocks,block,21
book,book,16
chalk,chalk,27
puzzle,puzzle,24
toy,toy (object),21
apple,apple,18
banana,banana,16
cake,cake,22
carrot,carrots,24
cookie,cookie,18
donut,donut,26
drink,drink (beverage),21
food,food,23
grapes,grapes,22
juice,juice,18
milk,milk,18
muffin,muffin,26
peas,peas,25
pudding,pudding,29
strawberry,strawberry,24
water,water (beverage),19
belt,belt,26
bib,bib,24
boot,boots,23
diaper,diaper,19
diapey,diaper,19
dress,dress (object),25
glove,gloves,27
hat,hat,19
necklace,necklace,26
shoe,shoe,16
shoes,shoe,16
shorts,shorts,25
slipper,slipper,27
sock,sock,21
socks,sock,21
zipper,zipper,25
blanket,blanket,21
bottle,bottle,19
box,box,22
broom,broom,24
brush,brush,22
bucket,bucket,26
can,can (object),27
clock,clock,23
comb,comb,25
cup,cup,20
glasses,glasses,23
hammer,hammer,26
keys,keys,21
knife,knife,25
lamp,lamp,28
plate,plate,24
purse,purse,25
scissors,scissors,26
spoon,spoon,20
tape,tape,26
vacuum,vacuum,24
bathtub,bathtub,22
bed,bed,21
chair,chair,21
crib,crib,26
door,door,20
table,table,24
flag,flag,26
flower,flower,20
hose,hose,27
ladder,ladder,27
sandbox,sandbox,27
shovel,shovel,26
slide,slide (object),23
baby,baby,16
boy,boy,23
black,black,26
blue,blue,23
brown,brown,27
green,green,24
orange,orange (description),24
red,red,24
white,white,27
yellow,yellow,24
