"","word_unified","word_count_unified"
"1","a",168760
"2","a_and_p",15
"3","aah",16
"4","aaron",428
"5","aaron's",22
"6","abba",19
"7","abbie",28
"8","abby",136
"9","abc",73
"10","abc's",74
"11","abcs",96
"12","abe's",23
"13","ability",14
"14","able",728
"15","aboard",55
"16","about",18177
"17","above",285
"18","abracadabra",11
"19","abraham",21
"20","absent",18
"21","absolutely",148
"22","abstract",12
"23","abu",15
"24","aby",13
"25","accent",18
"26","accept",13
"27","accident",277
"28","accidentally",23
"29","accidents",26
"30","according",13
"31","accordion",16
"32","ace",16
"33","ach",14
"34","ache",217
"35","aching",11
"36","achoo",124
"37","acorn",51
"38","acorns",17
"39","acrobat",18
"40","across",488
"41","act",178
"42","acting",141
"43","action",53
"44","active",16
"45","activities",17
"46","activity",25
"47","actor",16
"48","acts",25
"49","actual",23
"50","actually",1668
"51","ada",46
"52","adada",13
"53","adadada",24
"54","adam's",74
"55","add",207
"56","adda",15
"57","added",46
"58","adding",26
"59","address",113
"60","adds",13
"61","adios",17
"62","adjust",21
"63","admit",24
"64","adoption",14
"65","adorable",20
"66","adrienne",48
"67","ads",11
"68","adult",32
"69","adults",43
"70","advance",21
"71","advanced",13
"72","advantage",15
"73","adventure",48
"74","adventures",23
"75","advertisement",13
"76","advice",19
"77","ae",109
"78","aeae",19
"79","aen",13
"80","afford",21
"81","afraid",525
"82","africa",71
"83","african",327
"84","after",3812
"85","afternoon",392
"86","afternoons",13
"87","afterward",23
"88","afterwards",118
"89","aga",12
"90","agah",16
"91","again",7188
"92","against",329
"93","age",179
"94","ages",15
"95","aggie",11
"96","aggravated",12
"97","aggressive",11
"98","agh",41
"99","ago",646
"100","agra",21
"101","agree",66
"102","agreed",31
"103","aguh",72
"104","ah",7274
"105","aha",202
"106","ahahah",15
"107","ahead",2242
"108","ahem",14
"109","ahh",18
"110","ahhah",949
"111","ahhh",11
"112","ahm",15
"113","ai",64
"114","aid",42
"115","aida",18
"116","aim",21
"117","aimee",47
"118","ain't",971
"119","air",830
"120","air+conditioner",13
"121","airplane",1187
"122","airplane's",12
"123","airplanes",98
"124","airport",157
"125","ais",12
"126","aisle",19
"127","aislinn",51
"128","akkor",12
"129","al",36
"130","alabama",28
"131","aladar",28
"132","aladdin",15
"133","aladin",23
"134","alan",26
"135","alarm",59
"136","alaska",39
"137","albert",47
"138","album",15
"139","albuquerque",17
"140","ale",43
"141","alec",40
"142","alex's",45
"143","alexa",53
"144","alexander",287
"145","alexandra",26
"146","alexis",15
"147","ali",35
"148","alice",176
"149","alice's",11
"150","alicia",22
"151","alien",16
"152","aliens",22
"153","alike",78
"154","alison",15
"155","alissa",23
"156","alive",248
"157","all",28817
"158","all_done",40
"159","allen",274
"160","allergic",40
"161","alley",115
"162","alligator",339
"163","alligators",49
"164","allison",77
"165","allow",23
"166","allowance",25
"167","allowed",179
"168","ally",121
"169","almighty",16
"170","almond",86
"171","almonds",30
"172","almost",2231
"173","alone",939
"174","along",778
"175","aloud",11
"176","alouette",28
"177","aloyce",12
"178","alphabet",239
"179","alphabets",15
"180","already",2192
"181","alright",11384
"182","alrightie",92
"183","alrighty",84
"184","also",1206
"185","althea",120
"186","although",124
"187","altogether",29
"188","alua",23
"189","aluminum",15
"190","always",2010
"191","am",2778
"192","amanda",315
"193","amanda's",15
"194","amazed",32
"195","amazing",148
"196","amber",11
"197","ambulance",181
"198","amelia",33
"199","amen",139
"200","america",43
"201","american",74
"202","amigo",13
"203","amigos",15
"204","among",31
"205","amount",142
"206","amusement",12
"207","amy",109
"208","amy's",11
"209","amye",19
"210","an",7702
"211","ana",81
"212","ana's",20
"213","anakin",14
"214","and",119647
"215","anderson",15
"216","andrea",14
"217","andreas",13
"218","andrena",23
"219","andrew",208
"220","andrew's",34
"221","andy",317
"222","andy's",30
"223","anemone",26
"224","angel",172
"225","angela",26
"226","angels",60
"227","anger",11
"228","angie",22
"229","angle",16
"230","angler+fish",12
"231","angry",420
"232","animal",1031
"233","animal's",18
"234","animals",2259
"235","ankle",39
"236","ankles",14
"237","ann",187
"238","ann_marie",91
"239","ann_marie's",12
"240","ann's",12
"241","anna",69
"242","anna's",12
"243","anne",202
"244","anne's",16
"245","annie",202
"246","annie's",38
"247","anniversary",12
"248","announced",18
"249","annoying",33
"250","another",7843
"251","answer",437
"252","answered",79
"253","answering",48
"254","answers",45
"255","ant",175
"256","anteater",12
"257","antelope",12
"258","antenna",109
"259","antennae",11
"260","antennas",34
"261","anthony",328
"262","antlers",16
"263","ants",157
"264","anxious",18
"265","any",6609
"266","anybody",793
"267","anybody's",20
"268","anyhow",41
"269","anymore",1648
"270","anyone",325
"271","anyplace",18
"272","anything",3256
"273","anytime",54
"274","anyway",1002
"275","anyways",72
"276","anywhere",395
"277","apart",804
"278","apartment",92
"279","apartments",11
"280","ape",30
"281","apologize",20
"282","apostrophe",12
"283","apparently",52
"284","appear",15
"285","appeared",50
"286","appears",11
"287","appetite",37
"288","apple",2169
"289","apple+sauce",92
"290","appledumpling",20
"291","apples",411
"292","applesauce",184
"293","appointment",50
"294","appreciate",56
"295","approach",11
"296","approached",14
"297","appropriate",20
"298","apricot",32
"299","apricots",15
"300","april",217
"301","apron",104
"302","apticar",12
"303","aqua",14
"304","aquaman",30
"305","aquarium",104
"306","ar",38
"307","arch",19
"308","are",50335
"309","area",113
"310","aren't",2251
"311","arf",47
"312","argh",13
"313","argue",36
"314","arguing",25
"315","argument",33
"316","ari",46
"317","ari's",18
"318","ariel",201
"319","ariel's",28
"320","arise",11
"321","arizona",27
"322","ark",54
"323","arlene",15
"324","arlo",35
"325","arm",810
"326","arm's",11
"327","armadillo",47
"328","armadillos",14
"329","armor",19
"330","arms",523
"331","army",93
"332","arnold",14
"333","around",6434
"334","arr",17
"335","arrange",27
"336","arranged",12
"337","arrangement",12
"338","arrest",26
"339","arrive",23
"340","arrived",78
"341","arriving",13
"342","arrow",93
"343","arrows",24
"344","arrr",13
"345","art",139
"346","arthur",158
"347","arthur's",34
"348","article",18
"349","artist",72
"350","arts",12
"351","as",4979
"352","as_if",24
"353","as_soon_as",166
"354","as_well",70
"355","as_well_as",23
"356","ash",40
"357","asha",21
"358","ashamed",20
"359","asher",125
"360","asher's",19
"361","ashes",72
"362","ashtray",16
"363","asian",267
"364","aside",38
"365","ask",2249
"366","asked",1176
"367","asking",356
"368","asks",60
"369","asleep",531
"370","asparagus",37
"371","aspirin",31
"372","ass",33
"373","assignment",13
"374","associated",33
"375","assume",27
"376","astra",39
"377","astronaut",65
"378","astronauts",12
"379","at",27707
"380","ate",3084
"381","attach",95
"382","attached",118
"383","attack",77
"384","attacked",18
"385","attacking",14
"386","attendance",21
"387","attention",219
"388","attic",38
"389","attitude",20
"390","attract",11
"391","attractive",12
"392","au",33
"393","audience",16
"394","audio",12
"395","audubon",19
"396","august",59
"397","aunt",348
"398","aunt_bernice",14
"399","aunt_carey",42
"400","aunt_carey's",11
"401","aunt_dot",19
"402","aunt_dot's",17
"403","auntie",339
"404","auntie_marilyn",13
"405","auntie's",45
"406","aunts",16
"407","aunty",23
"408","aurora",22
"409","austin",15
"410","australia",15
"411","author",36
"412","automatic",13
"413","automobile",11
"414","autumn",17
"415","available",19
"416","avenue",89
"417","average",18
"418","avocado",64
"419","avoid",21
"420","avril",31
"421","aw",1243
"422","awake",173
"423","aware",31
"424","away",6244
"425","awesome",116
"426","awful",286
"427","awfully",166
"428","awhile",196
"429","awoh",320
"430","awww",36
"431","ax",58
"432","axe",29
"433","ay",106
"434","aye",23
"435","aziza",95
"436","b",1287
"437","b_t",11
"438","ba",182
"439","baa",404
"440","baaaa",18
"441","baaee",93
"442","baaee's",78
"443","baba",196
"444","babaji",37
"445","babar",56
"446","babbling",11
"447","babe",169
"448","babes",41
"449","babies",1213
"450","baboon",13
"451","baby",13764
"452","baby_bright",18
"453","baby_donald",21
"454","baby_mickey",15
"455","baby_o",19
"456","baby's",811
"457","baby+doll",29
"458","baby+sitter",35
"459","babye",25
"460","babykins",21
"461","babys",83
"462","babysit",55
"463","babysitter",46
"464","babysitting",17
"465","back",15904
"466","back+pack",112
"467","backed",19
"468","background",24
"469","backhoe",24
"470","backing",33
"471","backpack",624
"472","backpacks",13
"473","backs",58
"474","backward",28
"475","backwards",421
"476","backyard",115
"477","bacon",159
"478","bacteria",18
"479","bad",2977
"480","badada",29
"481","badega",12
"482","badge",15
"483","badger",12
"484","badji",65
"485","badly",26
"486","bae",41
"487","baebae",31
"488","bag",1928
"489","bagel",138
"490","bagels",69
"491","baggage",11
"492","baggy",12
"493","bags",212
"494","bah",153
"495","bahbah",28
"496","bailey",21
"497","bait",16
"498","bak",15
"499","bake",217
"500","baked",87
"501","baker",63
"502","baker's",82
"503","bakery",42
"504","bakes",14
"505","baking",83
"506","balance",114
"507","balanced",13
"508","balancing",36
"509","balcony",31
"510","bald",36
"511","ball",5774
"512","ball's",28
"513","ball+ball",19
"514","ballerina",52
"515","ballet",95
"516","balloon",762
"517","balloons",355
"518","balls",546
"519","balmex",18
"520","baloney",82
"521","balooga",20
"522","baltimore",15
"523","bam",53
"524","bam_bam",38
"525","bambi",208
"526","bambi's",16
"527","bamboo",11
"528","banana",907
"529","banana's",11
"530","bananas",278
"531","band",160
"532","band_aid",57
"533","band_aids",31
"534","bandage",21
"535","bandaid",106
"536","bandaids",26
"537","bandana",13
"538","bandors",22
"539","bands",35
"540","bang",1120
"541","banged",43
"542","banging",132
"543","bangle",15
"544","bangs",63
"545","banjo",53
"546","bank",189
"547","banner",55
"548","bap",11
"549","bapo",31
"550","bar",165
"551","barbara",118
"552","barbara's",13
"553","barbecue",47
"554","barber",62
"555","barbie",44
"556","bare",48
"557","barefoot",18
"558","barely",56
"559","bargain",13
"560","bark",198
"561","barked",29
"562","barking",117
"563","barks",20
"564","barley",20
"565","barn",546
"566","barnes",37
"567","barney",102
"568","barnyard",17
"569","barr",15
"570","barrel",152
"571","barrels",104
"572","barret",18
"573","barrette",129
"574","barrettes",34
"575","barry",153
"576","bars",99
"577","bart",15
"578","base",93
"579","baseball",291
"580","based",13
"581","basement",125
"582","bases",17
"583","bashful",11
"584","basic",18
"585","basically",60
"586","basil",15
"587","basket",779
"588","basketball",255
"589","baskets",51
"590","bass",14
"591","bat",282
"592","batch",21
"593","bath",1287
"594","bath+room",855
"595","bath+time",67
"596","bath+tub",332
"597","bathe",39
"598","bathie",19
"599","bathing",100
"600","bathing+suit",12
"601","bathrobe",37
"602","bathroom",241
"603","baths",110
"604","bathtub",129
"605","batman",187
"606","bats",75
"607","batter",34
"608","batteries",304
"609","battery",255
"610","battle",29
"611","bauck",14
"612","bawk",25
"613","bax",59
"614","baxter",33
"615","bay",101
"616","be",24481
"617","be_boom",11
"618","beach",812
"619","bead",87
"620","beads",314
"621","beagle",14
"622","beak",101
"623","beam",25
"624","beams",12
"625","bean",220
"626","beans",614
"627","beanstalk",22
"628","bear",5067
"629","bear's",260
"630","beard",166
"631","bears",565
