dataset_name,dataset_rename
pomper_saffran_2016,switchingCues
attword,attword
reflook_v4,reflook_v4
reflook_socword,reflook_socword
byers-heinlein_2017,mix
frank_tablet_2016,tablet
casillas_tseltal_2015,tseltal
adams_marchman_2018,ft_pt
potter_canine,canine
potter_remix,remix
kartushina_2019,freq_cues
mahr_coartic,coartic
pomper_dimy,dimy
pomper_prime,prime
pomper_salientme,salientme
pomper_yumme,yumme
ferguson_eyetrackingr,word_recog
garrison_bergelson_2020,yoursmy
perry_cowpig,cowpig
bacon_gendercues,gendercues
