"age_binned" "mean" "startTime" "endTime"
"1" "(12,24]" 0.00883579219517634 -300 0
"2" "(24,36]" -0.00427427032454499 -300 0
"3" "(36,48]" -0.0177404986310387 -300 0
"4" "(48,60]" 0.0076864653201683 -300 0
"5" "(12,24]" 0.0134450046868704 -300 50
"6" "(24,36]" -0.0044391250592255 -300 50
"7" "(36,48]" -0.0153819593941332 -300 50
"8" "(48,60]" 0.00478674478025004 -300 50
"9" "(12,24]" 0.00320749017615087 -300 100
"10" "(24,36]" -0.0055135115353887 -300 100
"11" "(36,48]" -0.0147620195887356 -300 100
"12" "(48,60]" 0.0126323484929301 -300 100
"13" "(12,24]" 0.00936813248988882 -300 150
"14" "(24,36]" -0.00808999150801763 -300 150
"15" "(36,48]" -0.0115483132947779 -300 150
"16" "(48,60]" 0.0179064603184717 -300 150
"17" "(12,24]" 0.0120560098851263 -300 200
"18" "(24,36]" -0.0104785690251533 -300 200
"19" "(36,48]" -0.00701349992981518 -300 200
"20" "(48,60]" 0.0251730434187298 -300 200
"21" "(12,24]" 0.0106499737707096 -300 250
"22" "(24,36]" -0.0143130942627437 -300 250
"23" "(36,48]" -0.00486327836902612 -300 250
"24" "(48,60]" 0.036498965403873 -300 250
"25" "(12,24]" 0.0140308657196208 -300 300
"26" "(24,36]" -0.0171921053850927 -300 300
"27" "(36,48]" -0.00170042619893233 -300 300
"28" "(48,60]" 0.044506630555889 -300 300
"29" "(12,24]" 0.0110214620519173 -300 350
"30" "(24,36]" -0.0177752806001016 -300 350
"31" "(36,48]" -0.00185064227160267 -300 350
"32" "(48,60]" 0.0498288135932713 -300 350
"33" "(12,24]" 0.00203407445688578 -300 400
"34" "(24,36]" -0.0197426822473806 -300 400
"35" "(36,48]" -0.00288238690469705 -300 400
"36" "(48,60]" 0.0467114457810823 -300 400
"37" "(12,24]" -0.00256733182090114 -300 450
"38" "(24,36]" -0.0162896166950368 -300 450
"39" "(36,48]" -0.003619339878461 -300 450
"40" "(48,60]" 0.0444525474501269 -300 450
"41" "(12,24]" -0.00809840977715956 -300 500
"42" "(24,36]" -0.0161950389960882 -300 500
"43" "(36,48]" -0.00325085275864228 -300 500
"44" "(48,60]" 0.0410139684435445 -300 500
"45" "(12,24]" -0.00246170828521844 -300 550
"46" "(24,36]" -0.0196321155588142 -300 550
"47" "(36,48]" -0.00288276146598936 -300 550
"48" "(48,60]" 0.0452720329439793 -300 550
"49" "(12,24]" 0.00264585514636205 -300 600
"50" "(24,36]" -0.0197385209413143 -300 600
"51" "(36,48]" -0.00460330866848409 -300 600
"52" "(48,60]" 0.0421398432073163 -300 600
"53" "(12,24]" -0.00834799476627044 -300 650
"54" "(24,36]" -0.0201266322951298 -300 650
"55" "(36,48]" -0.00765091982793887 -300 650
"56" "(48,60]" 0.0375108211606981 -300 650
"57" "(12,24]" -0.0102535617244467 -300 700
"58" "(24,36]" -0.0213752895762964 -300 700
"59" "(36,48]" -0.0087266295605964 -300 700
"60" "(48,60]" 0.0368611095185806 -300 700
"61" "(12,24]" -0.0117335148566923 -300 750
"62" "(24,36]" -0.0234656786245802 -300 750
"63" "(36,48]" -0.011806651803684 -300 750
"64" "(48,60]" 0.0336435955830999 -300 750
"65" "(12,24]" 0.0060737707864118 -300 800
"66" "(24,36]" -0.02366994623534 -300 800
"67" "(36,48]" -0.00967547550787526 -300 800
"68" "(48,60]" 0.0324553446178445 -300 800
"69" "(12,24]" -0.000488797163988939 -300 850
"70" "(24,36]" -0.0241841658549968 -300 850
"71" "(36,48]" -0.00828776194539065 -300 850
"72" "(48,60]" 0.0337399278480274 -300 850
"73" "(12,24]" 0.00403866166948991 -300 900
"74" "(24,36]" -0.0250162694132887 -300 900
"75" "(36,48]" -0.00726568822757576 -300 900
"76" "(48,60]" 0.0339088076090431 -300 900
"77" "(12,24]" 0.00454882628932492 -300 950
"78" "(24,36]" -0.026355685145086 -300 950
"79" "(36,48]" -0.00422664082727813 -300 950
"80" "(48,60]" 0.0316911256969884 -300 950
"81" "(12,24]" 0.00523920170803382 -300 1000
"82" "(24,36]" -0.0221670228569172 -300 1000
"83" "(36,48]" -0.000985657353502549 -300 1000
"84" "(48,60]" 0.0318041651873433 -300 1000
"85" "(12,24]" 0.00786934108640613 -300 1050
"86" "(24,36]" -0.0182714831550965 -300 1050
"87" "(36,48]" 0.00332814479223682 -300 1050
"88" "(48,60]" 0.0353650027166272 -300 1050
"89" "(12,24]" 0.0071656569942151 -300 1100
"90" "(24,36]" -0.0161017023804644 -300 1100
"91" "(36,48]" 0.00700729673283379 -300 1100
"92" "(48,60]" 0.0350243382388519 -300 1100
"93" "(12,24]" 0.0084233010183766 -300 1150
"94" "(24,36]" -0.0121010274870857 -300 1150
"95" "(36,48]" 0.0096281657848069 -300 1150
"96" "(48,60]" 0.0229189058336161 -300 1150
"97" "(12,24]" 0.0135772263727185 -300 1200
"98" "(24,36]" -0.00828097689774058 -300 1200
"99" "(36,48]" 0.0194158219100911 -300 1200
"100" "(48,60]" 0.0228573121083315 -300 1200
"101" "(12,24]" 0.0184583178370164 -300 1250
"102" "(24,36]" -0.00548016900464609 -300 1250
"103" "(36,48]" 0.0222959871447117 -300 1250
"104" "(48,60]" 0.0214155180415284 -300 1250
"105" "(12,24]" 0.0191462687029356 -300 1300
"106" "(24,36]" -0.00450227251010747 -300 1300
"107" "(36,48]" 0.0232004822041446 -300 1300
"108" "(48,60]" 0.0202500188244366 -300 1300
"109" "(12,24]" 0.0218916568485455 -300 1350
"110" "(24,36]" -0.0034215342952966 -300 1350
"111" "(36,48]" 0.0249984049955007 -300 1350
"112" "(48,60]" 0.0197770645425168 -300 1350
"113" "(12,24]" 0.0196434023499542 -300 1400
"114" "(24,36]" -0.00103977825234473 -300 1400
"115" "(36,48]" 0.0284719827492249 -300 1400
"116" "(48,60]" 0.0179843330980869 -300 1400
"117" "(12,24]" 0.0206574364922694 -300 1450
"118" "(24,36]" 0.000945199794120543 -300 1450
"119" "(36,48]" 0.0341407362815291 -300 1450
"120" "(48,60]" 0.0175731856949799 -300 1450
"121" "(12,24]" 0.0199262355413889 -300 1500
"122" "(24,36]" 0.00248634073410578 -300 1500
"123" "(36,48]" 0.0367243227820366 -300 1500
"124" "(48,60]" 0.0119394964211689 -300 1500
"125" "(12,24]" 0.0237875863367627 -300 1550
"126" "(24,36]" 0.00433208570247057 -300 1550
"127" "(36,48]" 0.0409613975568505 -300 1550
"128" "(48,60]" 0.0159406955544479 -300 1550
"129" "(12,24]" 0.0272171652485273 -300 1600
"130" "(24,36]" 0.0118754343352952 -300 1600
"131" "(36,48]" 0.0452139931811914 -300 1600
"132" "(48,60]" 0.0156148224117986 -300 1600
"133" "(12,24]" 0.0217536571614021 -300 1650
"134" "(24,36]" 0.0153743270450114 -300 1650
"135" "(36,48]" 0.0468538441284069 -300 1650
"136" "(48,60]" 0.0144446991775838 -300 1650
"137" "(12,24]" 0.0216871524752713 -300 1700
"138" "(24,36]" 0.0196221179298623 -300 1700
"139" "(36,48]" 0.0493278775701678 -300 1700
"140" "(48,60]" 0.0163578867726817 -300 1700
"141" "(12,24]" 0.0225275977023153 -300 1750
"142" "(24,36]" 0.0232238274700433 -300 1750
"143" "(36,48]" 0.0502841118535722 -300 1750
"144" "(48,60]" 0.0159161045994378 -300 1750
"145" "(12,24]" 0.022853508773559 -300 1800
"146" "(24,36]" 0.0264671422194442 -300 1800
"147" "(36,48]" 0.0503261817139157 -300 1800
"148" "(48,60]" 0.0186639488315448 -300 1800
